nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
2 Mètres,14259,58,53.6,4.4,77.92,2025-12-05,french rap,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,2025-12-17 11:32:46
D2L,6628,53,46.8,6.2,77.46,2025-12-12,french rap,https://open.spotify.com/artist/5UCM5UiwIFX15jCZjnp1M3,2025-12-17 11:32:57
Odetto,9752,47,37.7,9.3,77.19,2025-05-30,"french house, french pop",https://open.spotify.com/artist/24VFUtoeBmyKFwkl2pVtHF,2025-12-17 11:39:33
Jordan Lee,16974,54,49.7,4.3,77.09,2025-05-16,Non spécifié,https://open.spotify.com/artist/44SQjq9FW4yPRpMxGIO0Em,2025-12-17 11:33:18
Mani Deïz,11488,39,24.9,14.1,77.03,2025-09-19,"french rap, boom bap",https://open.spotify.com/artist/0IKPfKkoKDbdQTKX0LCFZB,2025-12-17 11:33:58
Boîte noire,5316,53,49.8,3.2,76.56,2025-10-24,french rap,https://open.spotify.com/artist/1oFhTipr8Uv7k0NZsD4K91,2025-12-17 11:32:47
purity.,11293,55,53.7,1.3,76.39,2025-11-21,Non spécifié,https://open.spotify.com/artist/6l61EPfqjbVQwHJr7cJwGg,2025-12-17 11:39:35
Hologram Lo',18543,50,46.1,3.9,76.17,2025-06-27,french rap,https://open.spotify.com/artist/0YjLBTzWfiNLqIseRzCa5e,2025-12-17 11:33:54
iilliaa,14349,48,43.3,4.7,76.01,2025-09-05,stutter house,https://open.spotify.com/artist/3XDX6PbRtAzovlF2DnoT5F,2025-12-17 11:36:32
Blasé,6947,40,30.8,9.2,75.76,2025-10-17,Non spécifié,https://open.spotify.com/artist/4PqSBgXKxQuqclKpwB6iuc,2025-12-17 11:34:10
RandJess,17129,47,43.1,3.9,75.57,2025-11-28,Non spécifié,https://open.spotify.com/artist/6jZCC4zK2doZjBdXJhaRPJ,2025-12-17 11:36:51
LRB490,16761,45,40.1,4.9,75.47,2025-05-09,shatta,https://open.spotify.com/artist/2UrTsnAc4CSukV44RC6PT6,2025-12-17 11:35:37
RDN,12087,51,50.5,0.5,75.35,2025-10-24,french rap,https://open.spotify.com/artist/4rKMthZmMbSiMdow1f1rBE,2025-12-17 11:32:09
Konieur,13867,48,45.5,2.5,75.35,2025-12-12,french rap,https://open.spotify.com/artist/3OFleM2K9wTLzf0wry6He3,2025-12-17 11:32:45
Chems,8622,48,51.6,-3.6,75.32,2025-11-07,french rap,https://open.spotify.com/artist/0AKwqGI96V5u8BMof8MEVq,2025-12-17 11:32:15
DEELEE S,10230,42,37.2,4.8,74.84,2025-10-24,french rap,https://open.spotify.com/artist/5RxdeY8UpyJPFEf1tBoRtg,2025-12-17 11:37:43
Jeff Le Nerf,14554,32,20.9,11.1,74.73,2025-07-04,french rap,https://open.spotify.com/artist/6BmoZG6Z7N10aKb4yyoo27,2025-12-17 11:37:53
TheFrenchKris,8356,42,37.7,4.3,74.69,2025-11-28,"french pop, french indie pop",https://open.spotify.com/artist/3mMx6lCCOvQZheRBZ3CTQs,2025-12-17 11:39:06
jean,12434,42,38.5,3.5,74.45,2025-05-23,french rap,https://open.spotify.com/artist/2yn91PBgI6paf13mI0I6VQ,2025-12-17 11:34:15
THBW,7670,42,38.5,3.5,74.45,2025-11-21,french rap,https://open.spotify.com/artist/6dstTZ3g2nRj6zcWICIUA7,2025-12-17 11:37:46
Saaro,9434,39,33.7,5.3,74.39,2025-10-17,french rap,https://open.spotify.com/artist/7EhNT3E3h56XbuohaGE0Z1,2025-12-17 11:32:20
YLR,6544,41,37.1,3.9,74.37,2025-12-05,french rap,https://open.spotify.com/artist/0djUVWD4NWGZt9PLAlvYXj,2025-12-17 11:32:15
Cenza,12205,32,23.2,8.8,74.04,2025-06-13,french rap,https://open.spotify.com/artist/4RuE2yh2mYFBcELzPyLoyF,2025-12-17 11:37:56
Princesse,12787,38,33.2,4.8,74.04,2025-11-21,french pop,https://open.spotify.com/artist/6btazhSPWJjAUX7Qvk8CEw,2025-12-17 11:39:02
Paolo.,5524,42,45.0,-3.0,74.0,2025-10-24,Non spécifié,https://open.spotify.com/artist/1UrkKlrHZfYlz4vhXeDRF4,2025-12-17 11:36:38
August Charles,12686,39,35.0,4.0,74.0,2025-11-07,Non spécifié,https://open.spotify.com/artist/36Lyedrxvj4wAPFvBK5O1S,2025-12-17 11:36:43
Prinzly,8342,42,30.1,11.9,73.97,2024-11-01,french rap,https://open.spotify.com/artist/6CecCbMlZKpr8sovW5ucq1,2025-12-17 11:37:29
Mortalla,12832,32,23.5,8.5,73.95,2025-06-20,french rap,https://open.spotify.com/artist/7xVHj5WkiGCygNfzWbOVRD,2025-12-17 11:32:19
Bolivard,12701,40,36.9,3.1,73.93,2025-11-13,"french indie pop, french house, french pop",https://open.spotify.com/artist/4I9Jjqu3WodJ5v8VOoeWyE,2025-12-17 11:39:38
GAL,5237,42,40.3,1.7,73.91,2025-11-21,french rap,https://open.spotify.com/artist/1X37AWx6kKH1rHNfXNyfAv,2025-12-17 11:33:38
okis,11479,36,30.7,5.3,73.79,2025-09-19,french rap,https://open.spotify.com/artist/5Cu5db0NsK9CumDuby09cB,2025-12-17 11:33:57
Mauvaise Bouche,10396,39,35.8,3.2,73.76,2025-10-24,"french pop, french indie pop",https://open.spotify.com/artist/5kmLM9mSvPHT8SxGS9DqCo,2025-12-17 11:39:37
Artel,12697,39,36.1,2.9,73.67,2025-06-06,french rap,https://open.spotify.com/artist/0K3A2UbboissqdCQ0KYZZc,2025-12-17 11:37:49
FEEL,8450,41,39.6,1.4,73.62,2025-07-18,french r&b,https://open.spotify.com/artist/7Et5is6sEj6d1naU26wy14,2025-12-17 11:34:25
Gen,13003,39,36.5,2.5,73.55,2025-01-31,french rap,https://open.spotify.com/artist/5TF46e3BqrK9NAOAUm608G,2025-12-17 11:34:35
Tedax Max,15503,33,26.7,6.3,73.49,2025-02-28,french rap,https://open.spotify.com/artist/6hjoQ84QiA6LVscW9dhcmO,2025-12-17 11:33:59
Blecko4Zar,11277,40,38.5,1.5,73.45,2025-10-26,french rap,https://open.spotify.com/artist/6JyZEpcWC3xXsv6QZ5Vdyu,2025-12-17 11:32:23
Oli,5160,40,41.25,-1.25,73.25,2025-05-22,"moroccan rap, french rap, moroccan pop",https://open.spotify.com/artist/19BKuc11aqDnKJNyIY8MKv,2025-12-17 11:36:36
L'uzine,14723,31,24.5,6.5,73.15,2025-04-29,"french rap, hardcore hip hop",https://open.spotify.com/artist/7BeihcnNgK5Md6ORbMEqwf,2025-12-17 11:34:38
Kent1,8791,36,32.9,3.1,73.13,2025-12-05,"zouk, kompa, shatta",https://open.spotify.com/artist/3j1OW2DW29UNsdM44viM9f,2025-12-17 11:35:31
Toulou,14443,35,31.3,3.7,73.11,2025-11-28,"zouk, kompa",https://open.spotify.com/artist/0X7QlcVMGgyXyNJ6IGaZWG,2025-12-17 11:35:26
WZ,8051,39,38.0,1.0,73.1,2025-12-03,Non spécifié,https://open.spotify.com/artist/4pMnPW4zYPriAuuC6mKfXM,2025-12-17 11:32:13
Thomas Goldberg,11905,35,31.5,3.5,73.05,2025-12-05,Non spécifié,https://open.spotify.com/artist/3mJSQo9rHKT7rqI949eCBd,2025-12-17 11:36:42
Wizdom,13682,33,28.5,4.5,72.95,2025-06-20,"shatta, zouk",https://open.spotify.com/artist/1w6y7kVzSXj0EsQhxkyzXp,2025-12-17 11:35:41
Arsaphe,8073,32,27.0,5.0,72.9,2025-09-26,french rap,https://open.spotify.com/artist/254Bb7mlUG9b3nRZ200dc9,2025-12-17 11:37:50
Lancelot,6341,37,35.5,1.5,72.85,2025-06-06,"french indie pop, french pop",https://open.spotify.com/artist/2h6HFDlZrXhfMDob23obTs,2025-12-17 11:39:12
JeanneTo,6656,34,31.1,2.9,72.67,2025-11-14,"hyperpop, french pop",https://open.spotify.com/artist/4QZHVgbqlCMCvLBtTcV39a,2025-12-17 11:33:16
rob,14982,34,31.8,2.2,72.46,2025-02-28,french rap,https://open.spotify.com/artist/73Ifh3j4V2PI6R5JNkcIyz,2025-12-17 11:33:43
Sskyron,9664,33,30.3,2.7,72.41,2025-07-23,"zouk, kizomba, shatta, french r&b",https://open.spotify.com/artist/2BUGUX2H14DcyEE2bqBDn3,2025-12-17 11:35:29
Eloquence,5518,32,29.2,2.8,72.24,2025-11-21,french rap,https://open.spotify.com/artist/685Gc0hObCotgZ7K8bE05K,2025-12-17 11:34:12
Liouba,5213,31,28.2,2.8,72.04,2025-06-10,Non spécifié,https://open.spotify.com/artist/7xTweEPZDMQwrJTgHZKxuj,2025-12-17 11:33:52
Liljooe,17735,34,33.5,0.5,71.95,2025-12-11,"zouk, kompa",https://open.spotify.com/artist/1fXRDObcekmH7aEVbCqsYZ,2025-12-17 11:35:35
IRSNa,10854,45,42.1,2.9,71.87,2024-03-05,Non spécifié,https://open.spotify.com/artist/3hPqxI3SsQNfUDfNIpJDeR,2025-12-17 11:37:04
Tidem,16270,41,35.9,5.1,71.73,2024-10-27,shatta,https://open.spotify.com/artist/6sTLgEEZMRu3PTRjhyHD2U,2025-12-17 11:35:58
Secteur 410,7163,31,30.4,0.6,71.38,2025-12-05,"shatta, zouk, kompa",https://open.spotify.com/artist/2gmiSWAqBQE8NIUKZJJh5q,2025-12-17 11:35:49
Shikki,10749,42,40.3,1.7,70.91,2024-02-14,Non spécifié,https://open.spotify.com/artist/6TBo7rPKniZAbrtupt3B9U,2025-12-17 11:37:15
Kay The Prodigy,15886,34,27.5,6.5,70.75,2024-06-21,french rap,https://open.spotify.com/artist/4ziOwyCpUFMlERkfyoEV6p,2025-12-17 11:34:25
AMIN,7014,40,37.8,2.2,70.66,2024-10-23,french rap,https://open.spotify.com/artist/0CA8jbz5CnyVRLR807BskD,2025-12-17 11:32:13
Joe la panic,5212,34,28.2,5.8,70.54,2024-12-05,"french pop, french indie pop",https://open.spotify.com/artist/0WrQRK1aus4QQQlPTGOcat,2025-12-17 11:39:31
I.n.c.h,6475,33,27.5,5.5,70.25,2024-08-23,french rap,https://open.spotify.com/artist/3DgnSCFY1j9wRW5Ujlk6iW,2025-12-17 11:38:24
Algéric,16776,38,36.3,1.7,70.11,2024-09-27,"zouk, kompa",https://open.spotify.com/artist/6V788FEftK2VvhtleSaPwY,2025-12-17 11:35:34
Mola,49150,43,37.0,6.0,70.06,2025-02-21,french rap,https://open.spotify.com/artist/2i9Epm0DZYGrXPOJbLpTbR,2025-12-17 11:32:24
Lindigo,11350,31,24.9,6.1,70.03,2024-04-26,Non spécifié,https://open.spotify.com/artist/75cnhwOJsykn09SSesbIQh,2025-12-17 11:36:01
Anton Serra,15053,31,24.9,6.1,70.03,2024-12-08,french rap,https://open.spotify.com/artist/4hP7MU4b6uUn1UZQblU9LI,2025-12-17 11:38:48
Eta,15113,34,30.1,3.9,69.97,2024-01-05,french rap,https://open.spotify.com/artist/4hLEWmW8SCJYxZkWfSJakZ,2025-12-17 11:37:40
Enchantée Julia,14863,34,30.2,3.8,69.94,2024-11-22,"french r&b, french indie pop",https://open.spotify.com/artist/0t04WLkoyjSuvhzsXIJH7E,2025-12-17 11:37:23
Tour De Manège,7981,32,26.9,5.1,69.93,2024-06-21,trip hop,https://open.spotify.com/artist/6NgwMiz1Dwsktnn8p8yujE,2025-12-17 11:36:10
Marshall,10942,34,30.4,3.6,69.88,2024-05-10,"shatta, zouk, kompa",https://open.spotify.com/artist/3PVXeZI5d2zsKUDjmxOKtM,2025-12-17 11:35:59
San-Nom,9680,34,30.4,3.6,69.88,2024-02-02,french rap,https://open.spotify.com/artist/7xdv7Qhz3mkp6imLNklYhp,2025-12-17 11:39:28
IPNDEGO,12161,35,33.1,1.9,69.57,2024-07-04,"french r&b, pop urbaine",https://open.spotify.com/artist/1NnXEta54oioiS58v4Ahrj,2025-12-17 11:35:17
Chanje,9537,32,28.1,3.9,69.57,2024-09-26,french rap,https://open.spotify.com/artist/5BZQ1LKKtw3uu6NIJdlU4Y,2025-12-17 11:37:51
H JeuneCrack,47104,45,40.5,4.5,69.19,2025-02-06,"french rap, new wave",https://open.spotify.com/artist/6Gm6S6XDUo6un4aPrRNeOj,2025-12-17 11:33:36
Tatane,10007,31,27.7,3.3,69.19,2024-12-15,"shatta, zouk, kompa",https://open.spotify.com/artist/1nGAkxWQrJ6GH0we2O48N8,2025-12-17 11:35:49
LÉA CHURROS,48528,47,46.8,0.2,68.87,2025-10-03,"zouk, kompa, kizomba, shatta",https://open.spotify.com/artist/1wroQVdy6a6jempVrScxJC,2025-12-17 11:35:43
Doulkha,41371,55,52.2,2.8,68.39,2025-01-31,french rap,https://open.spotify.com/artist/746NtgxeCDrfBTLUOOvjBw,2025-12-17 11:37:31
EDGE,43767,41,33.4,7.6,67.99,2025-01-24,french rap,https://open.spotify.com/artist/0ZCX1rGywF2LATUUCq0nOg,2025-12-17 11:35:02
USKY,42851,45,39.1,5.9,67.91,2025-04-24,"french rap, pop urbaine, cloud rap, french r&b",https://open.spotify.com/artist/0VbfTzGkMlei0XtibnO466,2025-12-17 11:32:51
Bakari,13391,28,20.4,7.6,67.88,2025-04-30,french rap,https://open.spotify.com/artist/6ENue1D9ypy32vI8BWQx33,2025-12-17 11:37:20
Mychael Danna,35677,52,41.5,10.5,67.82,2025-05-22,soundtrack,https://open.spotify.com/artist/0x8J72N9ilqcIZbWEKB8T2,2025-12-17 11:36:57
St Unit,12381,29,23.5,5.5,67.45,2025-11-28,"shatta, zouk, dancehall, kompa, ragga",https://open.spotify.com/artist/3ZgxAwvBnX0CSGmeFWCuQU,2025-12-17 11:35:38
Infinit',42541,43,38.0,5.0,67.12,2025-02-21,french rap,https://open.spotify.com/artist/5y2Ny3eOPrhtb5uQFl30vq,2025-12-17 11:33:42
Josué,14018,28,23.7,4.3,66.89,2025-05-16,french rap,https://open.spotify.com/artist/4Bb3vJgKsgjMmxDEElLZ1Y,2025-12-17 11:34:52
Lucio Bukowski,44295,36,30.2,5.8,66.66,2025-11-07,french rap,https://open.spotify.com/artist/2uNTCtTH48JmBT5b3PEgcW,2025-12-17 11:38:34
Jungle Jack,36269,53,48.2,4.8,66.55,2025-06-27,french rap,https://open.spotify.com/artist/36HOtWiV4nn0luNGSn2xAT,2025-12-17 11:33:55
Mick Harvey,35694,38,22.9,15.1,66.41,2025-03-28,Non spécifié,https://open.spotify.com/artist/5RyAbJ3y4yw8EbDcRblB8S,2025-12-17 11:36:04
Susanoô,9206,29,27.5,1.5,66.25,2025-06-13,Non spécifié,https://open.spotify.com/artist/3IPF34odrFxmKBZUciuUyE,2025-12-17 11:39:29
La Plaie,35921,51,46.4,4.6,65.95,2025-02-21,french rap,https://open.spotify.com/artist/2ktXCualVDXC8h7jNOuyoQ,2025-12-17 11:32:12
Pete Rodriguez,31581,48,35.7,12.3,65.92,2025-03-28,"cha cha cha, salsa, latin jazz, son cubano",https://open.spotify.com/artist/76KY8JsK3XMQkjDiRZVprS,2025-12-17 11:36:13
HMZ,30933,57,50.4,6.6,65.75,2025-10-10,french rap,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,2025-12-17 11:32:11
Missty,9998,26,24.7,1.3,65.59,2025-09-03,zouk,https://open.spotify.com/artist/046Doq33XrspImCS9IpnuC,2025-12-17 11:36:02
Sokra,36420,43,35.2,7.8,65.51,2025-11-29,"french rap, drill",https://open.spotify.com/artist/1phDnPqXT4r72OFGND3nKh,2025-12-17 11:32:17
Elh Kmer,46095,40,34.4,5.6,65.12,2024-11-29,"french rap, pop urbaine",https://open.spotify.com/artist/6DTpmzMa0Gz93kRKUo4JfQ,2025-12-17 11:32:44
Lushe,29835,56,49.5,6.5,65.08,2025-09-13,french rap,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,2025-12-17 11:36:36
Speed Radio,36400,59,53.4,5.6,65.04,2024-11-01,Non spécifié,https://open.spotify.com/artist/1YzaVDzA3EdEipDSUeNQER,2025-12-17 11:37:10
Savages,13816,28,21.4,6.6,64.58,2024-10-18,"trip hop, nu jazz, downtempo",https://open.spotify.com/artist/4opwQe0g9rAbtbsAErAOdS,2025-12-17 11:36:11
Paco,6489,26,18.5,7.5,64.45,2024-04-12,french rap,https://open.spotify.com/artist/4MxrhgzxFZL2BTybcP0q2h,2025-12-17 11:38:37
Matthew Hall,29669,44,32.0,12.0,64.27,2025-12-17,Non spécifié,https://open.spotify.com/artist/2KEK4PfckTQZk4rvo2bgfZ,2025-12-17 11:36:46
Bob Marlich,7268,25,18.3,6.7,64.01,2024-04-09,french rap,https://open.spotify.com/artist/2hbpMFkBbWiREMmfZ6KC3T,2025-12-17 11:34:16
Delgres,19913,28,23.5,4.5,63.95,2024-02-16,Non spécifié,https://open.spotify.com/artist/1vdBmNoVYcMaaxNbueb4H3,2025-12-17 11:39:27
Fanny Polly,10042,29,25.8,3.2,63.76,2024-06-21,french rap,https://open.spotify.com/artist/52ksuaIioWq0mK9rqBNPPK,2025-12-17 11:38:46
Al'Tarba,42164,41,35.9,5.1,63.6,2024-10-18,trip hop,https://open.spotify.com/artist/3ssUeoVViu1S2RGl1hLmUh,2025-12-17 11:39:00
Souffrance,31917,44,38.2,5.8,63.31,2025-03-14,french rap,https://open.spotify.com/artist/1uzx1lyRA2RIZlVSxOfBAi,2025-12-17 11:33:36
ZZ,21880,60,52.3,7.7,63.06,2025-12-03,french rap,https://open.spotify.com/artist/51loVlVgRomkJwd04A6B1e,2025-12-17 11:32:19
